,contextWindow,solutionWindow,trainMSE,testMSE
2099,210.0,1000.0,0.0003350816993687027,0.00033609723670116685
2100,220.0,10.0,0.00036428349288457383,0.00037597355741355145
2101,220.0,20.0,0.00034684547251269437,0.0003645373849951663
2102,220.0,30.0,0.00035086180078988254,0.0003531088701956285
2103,220.0,40.0,0.0003507896473930141,0.00036579518639751307
2104,220.0,50.0,0.0003494029838160706,0.00038893939173469734
2105,220.0,60.0,0.0003558391816972185,0.0003565922875799491
2106,220.0,70.0,0.0003567145329904901,0.0003507911342944137
2107,220.0,80.0,0.00035546614048941646,0.000363432901309402
2108,220.0,90.0,0.0003559018633751474,0.0003589003336197425
2109,220.0,100.0,0.00035529045585649634,0.0003625291947773084
2110,220.0,110.0,0.00035831622098276124,0.0003498683380777618
2111,220.0,120.0,0.0003541296530480307,0.0003797263766303863
2112,220.0,130.0,0.00035837654416708714,0.0003444105996443294
2113,220.0,140.0,0.00035973391071935534,0.00033110695645524927
2114,220.0,150.0,0.0003564681096185506,0.00036722732767842994
2115,220.0,160.0,0.0003586762049607499,0.00034410757282596
2116,220.0,170.0,0.0003551830149693197,0.00037117115336164256
2117,220.0,180.0,0.00035731302624305834,0.0003515748138496163
2118,220.0,190.0,0.00035577319534113464,0.000360582174079863
2119,220.0,200.0,0.0003568159176238493,0.00035722832776375517
2120,220.0,210.0,0.00035334169396252277,0.00038232449244815254
2121,220.0,220.0,0.00035518857208302656,0.0003693317640983606
2122,220.0,230.0,0.0003563794836190477,0.00035934729795913955
2123,220.0,240.0,0.000354613412362946,0.00036244440248891775
2124,220.0,250.0,0.0003569055526458973,0.0003380376155258573
2125,220.0,260.0,0.00035249064228351837,0.00037523201603319173
2126,220.0,270.0,0.0003542214982166782,0.00035797029381674734
2127,220.0,280.0,0.00035393774122315303,0.00035698988592387765
2128,220.0,290.0,0.0003525220817162073,0.0003689108975072103
2129,220.0,300.0,0.00035399041015363983,0.0003556124559637761
